,Descricao,Preco
0,"Smartphone Motorola Moto e6s Azul Navy 64GB, Tela Max Vision de 6.1"", Câmera Traseira Dupla, Android 9.0, Processador Octa-Core e 2GB de RAM","R$ 887,78"
1,"Smartphone Samsung Galaxy A01 Preto 32GB, Tela Infinita de 5.7"", Câmera Traseira Dupla, Android 10.0, Dual Chip e Processador Octa-Core","R$ 699,00"
2,"Smartphone Samsung Galaxy A01 Core Preto 32GB, Tela Infinita de 5.3”, Câmera Traseira 8MP, Android GO 10.0, Dual Chip e Processador Quad-Core","R$ 749,00"
3,"Smartphone Samsung Galaxy A32 Branco 128GB, 4GB RAM, Tela Infinita 6.4"", Câmera Traseira Quádrupla, Bateria de 5000mAh, Dual Chip e Octa Core","R$ 1.799,00"
4,"Smartphone Xiaomi Redmi 9A Verde 32GB, Tela de 6.53"", 2GB de RAM, Câmera Traseira 13MP, Android 10 e Processador Octa-Core","R$ 1.049,00"
5,"Smartphone Motorola Moto G9 Play Verde Turquesa 64GB, 4GB RAM, Tela de 6.5”, Câmera Traseira Tripla, Android 10 e Processador Octa-Core","R$ 1.299,00"
6,"Smartphone Samsung Galaxy A32 Azul 128GB, 4GB RAM, Tela Infinita 6.4"", Câmera Traseira Quádrupla, Bateria de 5000mAh, Dual Chip e Octa Core","R$ 1.799,00"
7,"Smartphone Motorola Moto G30 White Lilac 128GB, 4GB RAM, Tela de 6.5”, Câmera Traseira Quádrupla, Android 11 e Processador Qualcomm 662 Octa-Core","R$ 1.899,00"
8,"Smartphone Motorola Moto E6i Pink 32GB, 2GB RAM, Tela de 6.1”, Câmera Traseira Dupla, Android 10 e Processador Octa-Core","R$ 790,00"
9,"Smartphone Samsung Galaxy A01 Vermelho 32GB, Tela Infinita de 5.7"", Câmera Traseira Dupla, Android 10.0, Dual Chip e Processador Octa-Core","R$ 699,00"
10,"Smartphone Motorola Moto G9 Power Verde Pacífico 128GB, 4GB RAM, Tela de 6.8”, Câmera Traseira Tripla, Android 10 e Processador Octa-Core","R$ 1.499,00"
11,"Smartphone Motorola Moto G10 Cinza Aurora 64GB, 4GB Ram, Tela de 6.5”, Câmera Traseira Quádrupla, Android 11 e Processador Qualcomm 460 Octa-Core","R$ 1.699,00"
12,"Smartphone Motorola Moto e6s Azul Navy 32GB, Tela Max Vision de 6.1"", Câmera Traseira Dupla, Android 9.0, Processador Octa-Core e 2GB de RAM","R$ 889,00"
13,"Smartphone LG K22+ Vermelho 64GB, Tela de 6.2”, Câmera Traseira Dupla, Android 10, Inteligência Artificial e Processador Quad-Core","R$ 799,00"
14,"Smartphone Motorola Moto G30 Dark Prism 128GB, 4GB RAM, Tela de 6.5”, Câmera Traseira Quádrupla, Android 11 e Processador Qualcomm 662 Octa-Core","R$ 1.899,00"
15,"Smartphone Xiaomi Redmi Note 9 Branco 128GB, Tela de 6,53"", 4GB de RAM, Câmera Traseira Quádrupla, Android 10 e Processador Octa-Core","R$ 1.699,00"
16,"Smartphone Motorola Moto G8 Power Preto Titanium 64GB, Tela de 6.4” FHD+, Câmera Traseira Quádrupla, Android 10 e Processador Qualcomm Octa-Core","R$ 1.299,00"
17,"Smartphone Samsung Galaxy A11 Preto 64GB, Câmera Tripla,Tela Infinita de 6.4"", Leitor de Digital, Octa Core, 3GB RAM, Carregamento Rápido e Android 10","R$ 1.199,00"
18,"Smartphone Samsung Galaxy A32 Preto 128GB, 4GB RAM, Tela Infinita de 6.4"", Câmera Traseira Quádrupla, Bateria de 5000mAh, Dual Chip e Octa Core","R$ 1.799,00"
19,"Smartphone Samsung Galaxy A52 Branco 128GB, 6GB de RAM, Tela Infinita 6.5"", Câmera Traseira Quádrupla, Bateria de 4500mAh, Dual Chip e Octa Core","R$ 2.299,00"
20,"Smartphone Samsung Galaxy A72 Preto 128GB, 6GB de RAM, Tela Infinita 6.7"", Câmera Traseira Quádrupla, Bateria de 5000mAh, Dual Chip e Octa Core","R$ 2.499,00"
21,"Smartphone Claro Motorola Moto G 5G Plus Lilás 128GB, 8GB RAM, Tela de 6.7”, Câmera Traseira Quádrupla, Android 10 e Processador Octa-Core","R$ 2.050,00"
22,"Smartphone Motorola Edge Solar Black 128GB, 6GB RAM, Tela de 6.67”, Câmera Traseira Tripla, Android 10 e Processador Qualcomm","R$ 3.299,00"
23,"Smartphone Samsung Galaxy A52 Violeta 128GB, 6GB de RAM, Tela Infinita 6.5"", Câmera Traseira Quádrupla, Bateria de 4500mAh, Dual Chip e Octa Core","R$ 2.299,00"
24,"Smartphone Samsung Galaxy A52 Preto 128GB, 6GB de RAM, Tela Infinita 6.5"", Câmera Traseira Quádrupla, Bateria de 4500mAh, Dual Chip e Octa Core","R$ 2.299,00"
25,"Smartphone TecToy ON Azul 128GB, Tela 6,22”, 4GB de RAM, Câmera Traseira Tripla, Android 10 e Processador Octa-Core","R$ 999,00"
26,"Smartphone Xiaomi Redmi Note 9 Branco 64GB, Tela de 6,53"", 3GB de RAM, Câmera Traseira Quádrupla, Android 10 e Processador Octa-Core","R$ 1.599,00"
27,"Smartphone Motorola Moto e6s Vermelho Magenta 64GB, Tela Max Vision de 6.1"", Câmera Traseira Dupla, Android 9.0, Processador Octa-Core e 2GB de RAM","R$ 887,78"
28,"Smartphone Motorola Moto E6i Cinza Titanium 32GB, 2GB RAM, Tela de 6.1”, Câmera Traseira Dupla, Android 10 e Processador Octa-Core","R$ 799,00"
29,Smartphone Samsung Galaxy A11 Azul 64GB + Bateria Externa Samsung 10.000MAh Carga Rápida USB Tipo C - Prata,"R$ 1.199,00"
30,Smartphone Samsung Galaxy A11 Preto 64GB + Bateria Externa Samsung 10.000MAh Carga Rápida USB Tipo C - Prata,"R$ 1.199,00"
31,Smartphone Samsung Galaxy A11 Vermelho 64GB + Bateria Externa Samsung 10.000MAh Carga Rápida USB Tipo C - Prata,"R$ 1.199,00"
32,"Smartphone Motorola Moto E7 Power Vermelho Coral 32GB, Bateria 5000 mAh, Tela de 6.5”, Câmera Traseira Dupla, Android 10 e Processador Octa-Core","R$ 899,00"
33,"Smartphone Xiaomi Redmi 9 Cinza 64GB, Tela de 6.53"", 4GB de RAM, Câmera Traseira Quádrupla, Android 10 e Processador Octa-Core","R$ 1.199,00"
34,"Smartphone Samsung Galaxy A52 Azul 128GB, 6GB de RAM, Tela Infinita 6.5"", Câmera Traseira Quádrupla, Bateria de 4500mAh, Dual Chip e Octa Core","R$ 2.299,00"
35,"Smartphone Motorola Moto E7 Cinza Metálico 32GB, 2GB RAM, Tela de 6.5”, Câmera Traseira Dupla, Android 10 e Processador Octa-Core","R$ 889,00"
36,"Smartphone Motorola Edge Midnight Red 128GB, 6GB RAM, Tela de 6.67”, Câmera Traseira Tripla, Android 10 e Processador Qualcomm","R$ 3.299,00"
37,"Smartphone Xiaomi Redmi Note 9 Cinza 64GB, Tela de 6,53"", 3GB de RAM, Câmera Traseira Quádrupla, Android 10 e Processador Octa-Core","R$ 1.299,00"
38,"Smartphone Motorola Moto E7 Cinza Metálico 64GB, 4GB RAM, Tela de 6.5”, Câmera Traseira Dupla, Android 10 e Processador Octa-Core","R$ 1.299,00"
39,"Smartphone Samsung Galaxy A21s Branco 64GB, Câmera Quádrupla,Tela Infinita de 6.5"", Leitor de Digital, 4GB RAM, Carregamento Rápido e Android 10","R$ 1.499,00"
40,"Smartphone Samsung Galaxy A32 Violeta 128GB, 4GB RAM, Tela Infinita 6.4"", Câmera Traseira Quádrupla, Bateria de 5000mAh, Dual Chip e Octa Core","R$ 1.799,00"
41,"Smartphone Motorola Moto G10 Branco Floral 64GB, 4GB Ram, Tela de 6.5”, Câmera Traseira Quádrupla, Android 11 e Processador Qualcomm 460 Octa-Core","R$ 1.699,00"
42,"Smartphone Motorola Moto G9 Play Rosa Quartzo 64GB, 4GB RAM, Tela de 6.5”, Câmera Traseira Tripla, Android 10 e Processador Octa-Core","R$ 1.299,00"
43,"Smartphone Samsung Galaxy A31 Branco 128GB, 4GB RAM, Tela Infinita de 6.4"", Câmera Traseira Quádrupla, Leitor Digital na Tela e Android 10.0","R$ 1.699,00"
44,"Smartphone Samsung Galaxy A11 Azul 64GB, Câmera Tripla,Tela Infinita de 6.4"", Leitor de Digital, Octa Core, 3GB RAM, Carregamento Rápido e Android 10","R$ 1.199,00"
45,"Smartphone Xiaomi Redmi 9A Cinza 32GB, Tela de 6.53"", 2GB de RAM, Câmera Traseira 13MP, Android 10 e Processador Octa-Core","R$ 919,00"
46,"Smartphone Samsung Galaxy A71 Cinza 128GB, Tela Infinita de 6.7"", Câmera Traseira Quádrupla, Leitor Digital na Tela, 6GB RAM e Processador Octa-Core","R$ 2.299,00"
47,"Smartphone Motorola Moto G9 Play Azul Safira 64GB, 4GB RAM, Tela de 6.5”, Câmera Traseira Tripla, Android 10 e Processador Octa-Core","R$ 1.349,00"
48,"Smartphone Motorola Moto G100 Luminous Ocean 256GB, 12GB RAM, Tela de 6.7”, 5G, Câmera Quádrupla, Android 11 e Processador Qualcomm 870 Octa-Core","R$ 3.499,00"
49,"Smartphone Multilaser E Lite P9127 3G Dourado 32GB Tela 4.0"" Câmera 5MP Android 8.1","R$ 379,00"
50,"Smartphone Samsung Galaxy A12 Branco 64GB, Tela Infinita de 6.5"", Câmera Quádrupla, Bateria 5000mAh, 4GB RAM e Processador Octa-Core","R$ 1.349,00"
51,"Smartphone Samsung Galaxy M21s 64GB, 4GB RAM, Tela Infinita de 6.4”, Câmera Traseira Tripla, Android 10 e Processador Octa-Core - Preto","R$ 1.399,00"
52,"Smartphone Motorola Moto E7 Plus Azul Navy 64GB, 4GB RAM, Tela de 6.5”, Câmera Traseira Dupla, Android 10 e Processador Octa-Core","R$ 1.079,00"
53,"Smartphone Motorola One Fusion Verde Esmeralda 128GB, Tela de 6.5”, 4GB RAM, Câmera Traseira Quádrupla, Android 10 e Processador Qualcomm 710","R$ 1.629,00"
