,Descricao,Preco
0,Smartphone Motorola Moto e6s Azul Navy 64GB Tela Max Vision de 61 Câmera Traseira Dupla Android 90 Processador OctaCore e 2GB de RAM,909.0
1,Smartphone Samsung Galaxy A32 Branco 128GB 4GB RAM Tela Infinita 64 Câmera Traseira Quádrupla Bateria de 5000mAh Dual Chip e Octa Core,1699.0
2,Smartphone Samsung Galaxy A01 Core Preto 32GB Tela Infinita de 53” Câmera Traseira 8MP Android GO 100 Dual Chip e Processador QuadCore,699.0
3,Smartphone Motorola Moto G9 Play Verde Turquesa 64GB 4GB RAM Tela de 65” Câmera Traseira Tripla Android 10 e Processador OctaCore,1149.0
4,Smartphone Motorola Moto E6i Pink 32GB 2GB RAM Tela de 61” Câmera Traseira Dupla Android 10 e Processador OctaCore,769.0
5,Smartphone Xiaomi Redmi 9A Verde 32GB Tela de 653 2GB de RAM Câmera Traseira 13MP Android 10 e Processador OctaCore,899.0
6,Smartphone Samsung Galaxy A32 Azul 128GB 4GB RAM Tela Infinita 64 Câmera Traseira Quádrupla Bateria de 5000mAh Dual Chip e Octa Core,1699.0
7,Smartphone Motorola Moto G8 Power Preto Titanium 64GB Tela de 64” FHD Câmera Traseira Quádrupla Android 10 e Processador Qualcomm OctaCore,1199.0
8,Smartphone Motorola Moto G9 Power Verde Pacífico 128GB 4GB RAM Tela de 68” Câmera Traseira Tripla Android 10 e Processador OctaCore,1499.0
9,Smartphone Motorola Moto G10 Cinza Aurora 64GB 4GB Ram Tela de 65” Câmera Traseira Quádrupla Android 11 e Processador Qualcomm 460 OctaCore,1499.0
10,Smartphone LG K22 Vermelho 64GB Tela de 62” Câmera Traseira Dupla Android 10 Inteligência Artificial e Processador QuadCore,779.0
11,Smartphone Samsung Galaxy A72 Preto 128GB 6GB de RAM Tela Infinita 67 Câmera Traseira Quádrupla Bateria de 5000mAh Dual Chip e Octa Core,2379.0
12,Smartphone Motorola Moto e6s Azul Navy 32GB Tela Max Vision de 61 Câmera Traseira Dupla Android 90 Processador OctaCore e 2GB de RAM,889.0
13,Smartphone Motorola Moto G30 White Lilac 128GB 4GB RAM Tela de 65” Câmera Traseira Quádrupla Android 11 e Processador Qualcomm 662 OctaCore,1669.0
14,Smartphone Samsung Galaxy A11 Preto 64GB Câmera TriplaTela Infinita de 64 Leitor de Digital Octa Core 3GB RAM Carregamento Rápido e Android 10,1099.0
15,Smartphone Samsung Galaxy A32 Preto 128GB 4GB RAM Tela Infinita de 64 Câmera Traseira Quádrupla Bateria de 5000mAh Dual Chip e Octa Core,1699.0
16,Smartphone Xiaomi Redmi Note 9 Branco 128GB Tela de 653 4GB de RAM Câmera Traseira Quádrupla Android 10 e Processador OctaCore,1899.0
17,Smartphone Samsung Galaxy A52 Violeta 128GB 6GB de RAM Tela Infinita 65 Câmera Traseira Quádrupla Bateria de 4500mAh Dual Chip e Octa Core,2199.0
18,Smartphone Claro Motorola Moto G 5G Plus Lilás 128GB 8GB RAM Tela de 67” Câmera Traseira Quádrupla Android 10 e Processador OctaCore,2099.0
19,Smartphone Motorola Moto E6i Cinza Titanium 32GB 2GB RAM Tela de 61” Câmera Traseira Dupla Android 10 e Processador OctaCore,769.0
20,Smartphone Claro Motorola Moto G 5G Plus Lilás 128GB 8GB RAM Tela de 67” Câmera Traseira Quádrupla Android 10 e Processador OctaCore,2099.0
21,Smartphone Motorola Moto E6i Cinza Titanium 32GB 2GB RAM Tela de 61” Câmera Traseira Dupla Android 10 e Processador OctaCore,769.0
22,Smartphone Motorola Moto G30 Dark Prism 128GB 4GB RAM Tela de 65” Câmera Traseira Quádrupla Android 11 e Processador Qualcomm 662 OctaCore,1669.0
23,Smartphone Samsung Galaxy A52 Preto 128GB 6GB de RAM Tela Infinita 65 Câmera Traseira Quádrupla Bateria de 4500mAh Dual Chip e Octa Core,2199.0
24,Smartphone Motorola Moto E7 Cinza Metálico 64GB 4GB RAM Tela de 65” Câmera Traseira Dupla Android 10 e Processador OctaCore,969.0
25,Smartphone Motorola Moto e6s Vermelho Magenta 64GB Tela Max Vision de 61 Câmera Traseira Dupla Android 90 Processador OctaCore e 2GB de RAM,909.0
26,Smartphone Xiaomi Redmi 9 Cinza 64GB Tela de 653 4GB de RAM Câmera Traseira Quádrupla Android 10 e Processador OctaCore,1399.0
27,Smartphone TecToy ON Azul 128GB Tela 622” 4GB de RAM Câmera Traseira Tripla Android 10 e Processador OctaCore,1019.0
28,Smartphone Samsung Galaxy A52 Azul 128GB 6GB de RAM Tela Infinita 65 Câmera Traseira Quádrupla Bateria de 4500mAh Dual Chip e Octa Core,2199.0
29,Smartphone Xiaomi Redmi Note 9 Branco 64GB Tela de 653 3GB de RAM Câmera Traseira Quádrupla Android 10 e Processador OctaCore,1149.0
30,Smartphone Motorola Edge Solar Black 128GB 6GB RAM Tela de 667” Câmera Traseira Tripla Android 10 e Processador Qualcomm,3199.0
31,Smartphone Samsung Galaxy A11 Azul 64GB  Bateria Externa Samsung 10000MAh Carga Rápida USB Tipo C  Prata,1099.0
32,Smartphone Samsung Galaxy A11 Vermelho 64GB  Bateria Externa Samsung 10000MAh Carga Rápida USB Tipo C  Prata,1099.0
33,Smartphone Samsung Galaxy A11 Preto 64GB  Bateria Externa Samsung 10000MAh Carga Rápida USB Tipo C  Prata,1099.0
34,Smartphone Motorola Moto E7 Cinza Metálico 32GB 2GB RAM Tela de 65” Câmera Traseira Dupla Android 10 e Processador OctaCore,889.0
35,Smartphone Motorola Moto E7 Power Vermelho Coral 32GB Bateria 5000 mAh Tela de 65” Câmera Traseira Dupla Android 10 e Processador OctaCore,899.0
36,Smartphone Xiaomi Redmi Note 9 Cinza 64GB Tela de 653 3GB de RAM Câmera Traseira Quádrupla Android 10 e Processador OctaCore,1129.0
37,Smartphone Motorola Edge Midnight Red 128GB 6GB RAM Tela de 667” Câmera Traseira Tripla Android 10 e Processador Qualcomm,3199.0
38,Smartphone Samsung Galaxy A21s Branco 64GB Câmera QuádruplaTela Infinita de 65 Leitor de Digital 4GB RAM Carregamento Rápido e Android 10,1419.0
39,Smartphone Motorola Moto G10 Branco Floral 64GB 4GB Ram Tela de 65” Câmera Traseira Quádrupla Android 11 e Processador Qualcomm 460 OctaCore,1499.0
40,Smartphone Xiaomi Redmi 9A Cinza 32GB Tela de 653 2GB de RAM Câmera Traseira 13MP Android 10 e Processador OctaCore,899.0
41,Smartphone Samsung Galaxy A11 Azul 64GB Câmera TriplaTela Infinita de 64 Leitor de Digital Octa Core 3GB RAM Carregamento Rápido e Android 10,1099.0
42,Smartphone Samsung Galaxy A31 Branco 128GB 4GB RAM Tela Infinita de 64 Câmera Traseira Quádrupla Leitor Digital na Tela e Android 100,1699.0
43,Smartphone LG K52 Cinza 64GB Tela de 66” Câmera Traseira Quádrupla Android 10 Inteligência Artificial e Processador OctaCore,1139.0
44,Smartphone Samsung Galaxy A71 Cinza 128GB Tela Infinita de 67 Câmera Traseira Quádrupla Leitor Digital na Tela 6GB RAM e Processador OctaCore,2999.0
45,Smartphone Samsung Galaxy A12 Branco 64GB Tela Infinita de 65 Câmera Quádrupla Bateria 5000mAh 4GB RAM e Processador OctaCore,1349.0
46,Smartphone Motorola Moto G9 Play Azul Safira 64GB 4GB RAM Tela de 65” Câmera Traseira Tripla Android 10 e Processador OctaCore,1199.0
47,Smartphone Samsung Galaxy A72 Violeta 128GB 6GB de RAM Tela Infinita 67 Câmera Traseira Quádrupla Bateria de 5000mAh Dual Chip e Octa Core,2379.0
48,Smartphone Samsung Galaxy S20 FE Cloud Navy 128GB 6GB RAM Tela Infinita de 65” Câmera Traseira Tripla Android 10 e Processador OctaCore,3099.0
49,Smartphone Motorola Moto E7 Plus Azul Navy 64GB 4GB RAM Tela de 65” Câmera Traseira Dupla Android 10 e Processador OctaCore,1099.0
50,Smartphone Samsung Galaxy M21s 64GB 4GB RAM Tela Infinita de 64” Câmera Traseira Tripla Android 10 e Processador OctaCore  Preto,1369.0
51,Smartphone Positivo Twist 2 Fit S509 QuadCore Dual Chip Android Oreo 5``  Dourado,394.99
